id;nb_personnes;presence_matin_semaine;presence_matin_we;presence_am_semaine;presence_amwe;presence_soir_semaine;presence_soir_we;presence_nuit_semaine;presence_nuit_we;semaines_absence_hiver;semaines_absence_ete
1;26436;true;false;true;true;true;true;false;false;97490;78612
2;1971;false;true;true;true;true;false;false;true;77820;57285
3;26233;true;false;true;false;true;true;false;true;7750;23201
4;34637;false;false;false;true;true;false;false;false;53217;12741
5;89740;false;true;true;true;false;true;false;false;25612;82609
6;15407;true;false;false;false;true;true;false;false;29950;56072
7;80027;true;true;true;true;false;true;false;false;48247;95684
8;80788;true;true;true;false;false;true;true;false;78833;87050
9;70140;false;true;true;false;false;true;true;false;29469;61797
10;36012;true;true;true;true;false;false;true;true;76739;229
