id;td_013_installation_ecs;tr_004_type_energie;volume_stockage
1;back-end;instruction set lime;54819
2;Lesotho Creative;quantifying Chips District;13190
3;software RSS;Home;90823
4;cutting-edge Bedfordshire leverage;Berkshire array International;10539
5;dedicated COM content;Niger;26792
6;reinvent Chair;connecting;22412
7;purple Hawaii;Ergonomic Wooden Ball synergize front-end;48502
8;Strategist;Bedfordshire;1809
9;payment generating;hard drive Turnpike;23929
10;Grocery Tasty Concrete Sausages Rhode Island;Serbia Soap;18681
