id;tr_004_type_energie;tr_006_type_usage;tv_044_conversion_kwh_energies_relevees;tv_045_conversion_kwh_co_2;tv_046_evaluation_contenu_co_2_reseaux;consommation_energie_finale;consommation_energie_primaire;frais_annuels_energie
1;Afghani Licensed;orchid virtual;invoice deposit;Industrial Keyboard index;PNG;15169;14956;151
2;open-source solutions National;eco-centric Canada applications;orchestrate Mouse;Kroon Fantastic Fresh Computer;Integrated HDD mindshare;6328;90066;58449
3;Austria Assurance;Cambridgeshire infrastructures;Frozen frictionless bluetooth;intuitive Granite;Pants Refined Balboa US Dollar;84122;24619;85796
4;cyan;user-centric convergence navigating;Guyana Dollar;Accountability Fantastic Frozen Bacon synthesize;online Wooden grow;45405;23004;52353
5;synthesizing lime;Savings Account solution;Square;Tools markets deposit;tangible;28151;69389;17430
6;bandwidth-monitored Personal Loan Account Central;Applications Buckinghamshire;gold;olive;Borders Triple-buffered;93135;97164;80252
7;global Connecticut Fresh;tan navigate Mobility;Regional copying;IB 24/7;Mews XSS Yemen;95327;50860;16829
8;Gloves interactive;Clothing Metal fuchsia;Dalasi;monitor Cyprus Chips;Function-based;63343;24360;54786
9;Mouse technologies;virtual Concrete unleash;Supervisor program internet solution;Florida Buckinghamshire;Representative Response Shoes;45220;8877;35898
10;Arizona Polarised;Missouri internet solution;Liaison;architectures Regional redefine;deposit withdrawal projection;98740;63159;39749
