id;tr_006_type_usage;tr_004_typ_energie;tv_042_tarif_energie;consommation_energie_finale;consommation_energie_primaire;frais_annuels_energie;est_efface
1;Ball grow;South Carolina Rubber;71006;25892;61983;60287;true
2;Internal stable expedite;reintermediate;30447;79373;46822;29116;false
3;e-business;circuit alarm;13951;30134;94401;54412;false
4;withdrawal matrix envisioneer;open architecture reboot Home;89321;5015;69447;74777;true
5;Glen Chile Brand;Mission;86437;22460;35210;2222;true
6;Pa'anga;stable;45109;88967;85022;35274;false
7;hacking Gorgeous Cotton Gloves;redundant;71204;15253;36649;65170;false
8;Cayman Islands Dollar zero tolerance;24/365 SMTP;55136;75674;8775;95694;true
9;XML;panel;89403;92773;56857;85760;true
10;microchip;primary;37975;98477;56198;3890;true
