id;tr_014_type_parois_opaque;reference;deperdition_thermique;coefficient_transmission_thermique_paroi;resistance_thermique_isolation;epaisseur_isolation;surface_paroi
1;Togo parse;Ball;52436;53002;99661;36096;95231
2;capability;payment;59627;23920;50583;51034;90502
3;Delaware;Multi-layered;22530;54734;47501;51558;6530
4;Awesome calculating;Group;89479;67678;40929;18831;39862
5;Pizza;Awesome Soft Salad national Avon;29376;86867;87033;44366;70966
6;SDR Response;Applications;68554;70985;96858;43970;84705
7;Lebanese Pound XML;Table Avon;96127;83336;72032;60609;71042
8;Regional Distributed solid state;Sleek Cotton Towels Practical;76535;93479;2072;53101;67261
9;Towels;Oregon Home Loan Account;62367;34046;83122;50005;52703
10;Chair;Chad;55470;86903;83983;14669;95320
