id;reference;td_008_baie;deperdition;tv_009_coefficient_transmission_thermique_vitrage;tv_012_coef_transmission_thermique_baie_protection_solaire;surface;perimetre;tv_013_valeur_pont_thermique
1;real-time Chicken Ergonomic;grey;99868;64171;76590;54592;42577;33675
2;Illinois;multi-byte virtual;49123;30385;65328;43354;59588;97299
3;Corporate Cambodia;transmitter Buckinghamshire Ergonomic;25859;69747;85443;17176;79502;92941
4;payment Divide green;Program Checking Account Texas;49729;64006;15588;80934;53995;91144
5;Liaison Lek Incredible;Ball digital Serbia;40670;32712;12538;39155;13238;16206
6;solid state circuit;cyan projection Human;76740;40579;20328;42939;65290;45345
7;web-enabled web-enabled Fantastic Rubber Salad;plug-and-play Louisiana;40255;32110;27830;115;99379;96392
8;Baby Chief;Wooden Upgradable;27293;67707;58310;76355;84947;79524
9;National Assurance;calculating Kentucky static;23233;32052;44720;87207;14747;38815
10;Incredible Human CSS;District Generic;6738;63123;56816;28968;64174;75149
