id;tr_005_type_installation_ecs;becs;tv_039_formule_becs;surface_alimentee
1;Toys Web;9941;Automotive;35290
2;Lead bifurcated;19566;disintermediate International digital;73003
3;protocol;95060;Human Forward;37849
4;HTTP;99325;generating;95549
5;heuristic Oklahoma Port;77639;relationships feed transmitter;30354
6;reboot red Mauritius;52129;hardware;18760
7;5th generation invoice Future;11028;Pizza panel Cambridgeshire;70649
8;Netherlands Antilles;13807;Bedfordshire Chief Implementation;32651
9;Investment Account;1170;calculate;99810
10;uniform Bacon Shirt;60240;Plaza Plastic payment;49955
